,train,val,test
0,IN Brain-0007(a),IN Brain-0271(a),IN Brain-0294
1,IN Brain-0007(b),IN Brain-0237(a),IN Brain-0315(b)
2,IN Brain-0012(a),IN Brain-0363(b),IN Brain-0031(d)
3,IN Brain-0015(a),IN Brain-0057,IN Brain-0239(b)
4,IN Brain-0015(b),IN Brain-0253(b),IN Brain-0280
5,IN Brain-0025(a),IN Brain-0235(b),IN Brain-0315(a)
6,IN Brain-0025(b),IN Brain-0252(a),IN Brain-0012(b)
7,IN Brain-0030,IN Brain-0260(b),IN Brain-0077(c)
8,IN Brain-0031(a),IN Brain-0210,IN Brain-0174
9,IN Brain-0031(b),IN Brain-0047,IN Brain-0044(b)
10,IN Brain-0031(c),IN Brain-0034,IN Brain-0076
11,IN Brain-0035(a),IN Brain-0042,IN Brain-0253(a)
12,IN Brain-0035(b),IN Brain-0181(a),IN Brain-0121
13,IN Brain-0044(a),IN Brain-0192(b),IN Brain-0360
14,IN Brain-0045,IN Brain-0186(a),IN Brain-0120
15,IN Brain-0050(a),IN Brain-0085(a),IN Brain-0094(d)
16,IN Brain-0050(b),IN Brain-0029(b),IN Brain-0036(a)
17,IN Brain-0052(a),IN Brain-0341,IN Brain-0168(b)
18,IN Brain-0052(b),IN Brain-0312,IN Brain-0141
19,IN Brain-0052(c),IN Brain-0323(b),IN Brain-0132
20,IN Brain-0060,IN Brain-0079(b),IN Brain-0229
21,IN Brain-0062(a),IN Brain-0258(b),IN Brain-0267
22,IN Brain-0062(b),IN Brain-0185(a),IN Brain-0324(b)
23,IN Brain-0065,IN Brain-0171(b),IN Brain-0041(a)
24,IN Brain-0067,IN Brain-0013(b),IN Brain-0185(b)
25,IN Brain-0068(a),IN Brain-0265(b),IN Brain-0094(e)
26,IN Brain-0068(b),IN Brain-0163(b),IN Brain-0324(a)
27,IN Brain-0069(a),IN Brain-0036(b),IN Brain-0137
28,IN Brain-0069(b),IN Brain-0262(b),IN Brain-0322
29,IN Brain-0074,IN Brain-0092(a),IN Brain-0307(b)
30,IN Brain-0077(a),IN Brain-0247,IN Brain-0286
31,IN Brain-0077(b),IN Brain-0040(a),IN Brain-0171(a)
32,IN Brain-0084,IN Brain-0368,IN Brain-0217(b)
33,IN Brain-0086(a),IN Brain-0072(c),IN Brain-0085(d)
34,IN Brain-0086(b),IN Brain-0223,IN Brain-0166
35,IN Brain-0086(c),IN Brain-0255(a),IN Brain-0080(a)
36,IN Brain-0089(a),IN Brain-0156(a),IN Brain-0102(a)
37,IN Brain-0089(b),IN Brain-0063(b),IN Brain-0163(a)
38,IN Brain-0090(a),IN Brain-0161(a),IN Brain-0318(b)
39,IN Brain-0090(b),IN Brain-0203,IN Brain-0283
40,IN Brain-0097,IN Brain-0261(b),IN Brain-0004(b)
41,IN Brain-0108(a),IN Brain-0130,IN Brain-0297(b)
42,IN Brain-0108(b),IN Brain-0058(b),IN Brain-0316(b)
43,IN Brain-0108(c),IN Brain-0238(b),IN Brain-0215
44,IN Brain-0108(d),IN Brain-0297(a),IN Brain-0200
45,IN Brain-0112(a),IN Brain-0308,IN Brain-0345
46,IN Brain-0112(b),IN Brain-0326,IN Brain-0349
47,IN Brain-0112(c),IN Brain-0180(b),IN Brain-0350
48,IN Brain-0115,,
49,IN Brain-0123,,
50,IN Brain-0124,,
51,IN Brain-0149,,
52,IN Brain-0150,,
53,IN Brain-0152,,
54,IN Brain-0158(a),,
55,IN Brain-0158(b),,
56,IN Brain-0159,,
57,IN Brain-0162,,
58,IN Brain-0165,,
59,IN Brain-0175,,
60,IN Brain-0176(a),,
61,IN Brain-0176(b),,
62,IN Brain-0178,,
63,IN Brain-0181(b),,
64,IN Brain-0204,,
65,IN Brain-0213,,
66,IN Brain-0222,,
67,IN Brain-0224,,
68,IN Brain-0225,,
69,IN Brain-0235(a),,
70,IN Brain-0236(a),,
71,IN Brain-0236(b),,
72,IN Brain-0237(b),,
73,IN Brain-0237(c),,
74,IN Brain-0239(a),,
75,IN Brain-0241,,
76,IN Brain-0245,,
77,IN Brain-0249,,
78,IN Brain-0250,,
79,IN Brain-0251,,
80,IN Brain-0252(b),,
81,IN Brain-0259(a),,
82,IN Brain-0259(b),,
83,IN Brain-0260(a),,
84,IN Brain-0266,,
85,IN Brain-0269,,
86,IN Brain-0271(b),,
87,IN Brain-0274,,
88,IN Brain-0275,,
89,IN Brain-0276,,
90,IN Brain-0278,,
91,IN Brain-0292,,
92,IN Brain-0313(a),,
93,IN Brain-0313(b),,
94,IN Brain-0321(a),,
95,IN Brain-0321(b),,
96,IN Brain-0325(a),,
97,IN Brain-0325(b),,
98,IN Brain-0331(b),,
99,IN Brain-0351,,
100,IN Brain-0353,,
101,IN Brain-0358,,
102,IN Brain-0363(a),,
103,IN Brain-0365,,
104,IN Brain-0369,,
105,IN Brain-0008(a),,
106,IN Brain-0008(b),,
107,IN Brain-0013(a),,
108,IN Brain-0020,,
109,IN Brain-0021,,
110,IN Brain-0024,,
111,IN Brain-0029(a),,
112,IN Brain-0029(c),,
113,IN Brain-0039,,
114,IN Brain-0040(b),,
115,IN Brain-0041(b),,
116,IN Brain-0046,,
117,IN Brain-0048,,
118,IN Brain-0059(a),,
119,IN Brain-0059(b),,
120,IN Brain-0059(c),,
121,IN Brain-0061(a),,
122,IN Brain-0061(b),,
123,IN Brain-0063(a),,
124,IN Brain-0063(c),,
125,IN Brain-0066,,
126,IN Brain-0071(a),,
127,IN Brain-0071(c),,
128,IN Brain-0072(a),,
129,IN Brain-0072(b),,
130,IN Brain-0072(d),,
131,IN Brain-0073(a),,
132,IN Brain-0073(b),,
133,IN Brain-0079(a),,
134,IN Brain-0080(b),,
135,IN Brain-0082,,
136,IN Brain-0085(b),,
137,IN Brain-0085(c),,
138,IN Brain-0088(a),,
139,IN Brain-0088(b),,
140,IN Brain-0091,,
141,IN Brain-0092(b),,
142,IN Brain-0093,,
143,IN Brain-0094(a),,
144,IN Brain-0094(b),,
145,IN Brain-0094(c),,
146,IN Brain-0094(f),,
147,IN Brain-0094(g),,
148,IN Brain-0094(i),,
149,IN Brain-0094(j),,
150,IN Brain-0095(a),,
151,IN Brain-0095(b),,
152,IN Brain-0095(c),,
153,IN Brain-0096(a),,
154,IN Brain-0096(b),,
155,IN Brain-0098(a),,
156,IN Brain-0098(b),,
157,IN Brain-0100,,
158,IN Brain-0101,,
159,IN Brain-0102(b),,
160,IN Brain-0103,,
161,IN Brain-0105(a),,
162,IN Brain-0105(b),,
163,IN Brain-0106,,
164,IN Brain-0107,,
165,IN Brain-0111,,
166,IN Brain-0113,,
167,IN Brain-0114(a),,
168,IN Brain-0114(b),,
169,IN Brain-0116(a),,
170,IN Brain-0116(b),,
171,IN Brain-0117,,
172,IN Brain-0118(a),,
173,IN Brain-0118(b),,
174,IN Brain-0119,,
175,IN Brain-0122,,
176,IN Brain-0125,,
177,IN Brain-0128,,
178,IN Brain-0129,,
179,IN Brain-0131,,
180,IN Brain-0133,,
181,IN Brain-0134,,
182,IN Brain-0135,,
183,IN Brain-0136,,
184,IN Brain-0139,,
185,IN Brain-0142,,
186,IN Brain-0144,,
187,IN Brain-0145,,
188,IN Brain-0146,,
189,IN Brain-0148,,
190,IN Brain-0151,,
191,IN Brain-0155(a),,
192,IN Brain-0155(b),,
193,IN Brain-0156(b),,
194,IN Brain-0157,,
195,IN Brain-0164,,
196,IN Brain-0167,,
197,IN Brain-0168(a),,
198,IN Brain-0170,,
199,IN Brain-0172,,
200,IN Brain-0173(a),,
201,IN Brain-0173(b),,
202,IN Brain-0179(a),,
203,IN Brain-0179(b),,
204,IN Brain-0182(a),,
205,IN Brain-0182(b),,
206,IN Brain-0183(a),,
207,IN Brain-0183(b),,
208,IN Brain-0186(b),,
209,IN Brain-0188,,
210,IN Brain-0189,,
211,IN Brain-0190,,
212,IN Brain-0192(a),,
213,IN Brain-0193(a),,
214,IN Brain-0193(b),,
215,IN Brain-0195,,
216,IN Brain-0196(a),,
217,IN Brain-0196(b),,
218,IN Brain-0197(a),,
219,IN Brain-0197(b),,
220,IN Brain-0201,,
221,IN Brain-0205,,
222,IN Brain-0206,,
223,IN Brain-0207,,
224,IN Brain-0208,,
225,IN Brain-0209(a),,
226,IN Brain-0209(b),,
227,IN Brain-0216(a),,
228,IN Brain-0216(b),,
229,IN Brain-0217(a),,
230,IN Brain-0219,,
231,IN Brain-0221,,
232,IN Brain-0226,,
233,IN Brain-0227,,
234,IN Brain-0228(a),,
235,IN Brain-0228(b),,
236,IN Brain-0231,,
237,IN Brain-0233(a),,
238,IN Brain-0233(b),,
239,IN Brain-0244,,
240,IN Brain-0246,,
241,IN Brain-0248,,
242,IN Brain-0254,,
243,IN Brain-0255(b),,
244,IN Brain-0256(a),,
245,IN Brain-0256(b),,
246,IN Brain-0257,,
247,IN Brain-0258(a),,
248,IN Brain-0262(a),,
249,IN Brain-0264,,
250,IN Brain-0265(a),,
251,IN Brain-0268,,
252,IN Brain-0270,,
253,IN Brain-0272,,
254,IN Brain-0273,,
255,IN Brain-0277,,
256,IN Brain-0281,,
257,IN Brain-0282,,
258,IN Brain-0284(a),,
259,IN Brain-0284(b),,
260,IN Brain-0285,,
261,IN Brain-0289,,
262,IN Brain-0290(a),,
263,IN Brain-0290(b),,
264,IN Brain-0291,,
265,IN Brain-0295,,
266,IN Brain-0298(a),,
267,IN Brain-0298(b),,
268,IN Brain-0301,,
269,IN Brain-0302(a),,
270,IN Brain-0302(b),,
271,IN Brain-0305,,
272,IN Brain-0307(a),,
273,IN Brain-0309,,
274,IN Brain-0310,,
275,IN Brain-0311(a),,
276,IN Brain-0311(b),,
277,IN Brain-0314(a),,
278,IN Brain-0314(b),,
279,IN Brain-0317(a),,
280,IN Brain-0317(b),,
281,IN Brain-0319,,
282,IN Brain-0323(a),,
283,IN Brain-0327(a),,
284,IN Brain-0327(b),,
285,IN Brain-0328,,
286,IN Brain-0338,,
287,IN Brain-0339,,
288,IN Brain-0342,,
289,IN Brain-0343(a),,
290,IN Brain-0343(b),,
291,IN Brain-0344,,
292,IN Brain-0346,,
293,IN Brain-0347,,
294,IN Brain-0354,,
295,IN Brain-0355,,
296,IN Brain-0356,,
297,IN Brain-0364,,
298,IN Brain-0366,,
299,IN Brain-0367,,
300,IN Brain-0370,,
301,IN Brain-0002,,
302,IN Brain-0004(a),,
303,IN Brain-0038,,
304,IN Brain-0056,,
305,IN Brain-0058(a),,
306,IN Brain-0064(a),,
307,IN Brain-0064(b),,
308,IN Brain-0070(a),,
309,IN Brain-0070(b),,
310,IN Brain-0075,,
311,IN Brain-0078,,
312,IN Brain-0081(a),,
313,IN Brain-0081(b),,
314,IN Brain-0099,,
315,IN Brain-0104(a),,
316,IN Brain-0104(b),,
317,IN Brain-0104(c),,
318,IN Brain-0109(a),,
319,IN Brain-0109(b),,
320,IN Brain-0110(a),,
321,IN Brain-0110(b),,
322,IN Brain-0126,,
323,IN Brain-0138,,
324,IN Brain-0140,,
325,IN Brain-0143,,
326,IN Brain-0147,,
327,IN Brain-0153,,
328,IN Brain-0154,,
329,IN Brain-0160(a),,
330,IN Brain-0160(b),,
331,IN Brain-0161(b),,
332,IN Brain-0169,,
333,IN Brain-0180(a),,
334,IN Brain-0187(a),,
335,IN Brain-0187(b),,
336,IN Brain-0191(a),,
337,IN Brain-0191(b),,
338,IN Brain-0194(a),,
339,IN Brain-0194(b),,
340,IN Brain-0198,,
341,IN Brain-0199,,
342,IN Brain-0202(a),,
343,IN Brain-0202(b),,
344,IN Brain-0211,,
345,IN Brain-0214,,
346,IN Brain-0218(a),,
347,IN Brain-0218(b),,
348,IN Brain-0220,,
349,IN Brain-0232(a),,
350,IN Brain-0232(b),,
351,IN Brain-0234(a),,
352,IN Brain-0234(b),,
353,IN Brain-0238(a),,
354,IN Brain-0238(c),,
355,IN Brain-0240(a),,
356,IN Brain-0240(b),,
357,IN Brain-0242(a),,
358,IN Brain-0242(b),,
359,IN Brain-0243,,
360,IN Brain-0261(a),,
361,IN Brain-0263(a),,
362,IN Brain-0263(b),,
363,IN Brain-0279,,
364,IN Brain-0287,,
365,IN Brain-0288,,
366,IN Brain-0296(a),,
367,IN Brain-0296(b),,
368,IN Brain-0299(a),,
369,IN Brain-0299(b),,
370,IN Brain-0304,,
371,IN Brain-0316(a),,
